,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-07-07 08:44:59.999,1657176120000,1167.53,1168.5,1167.01,1167.45,1375.6664,1657176299999,1606246.69495,996,874.7364,1021292.335121,
2022-07-07 08:47:59.999,1657176300000,1167.46,1168.84,1167.27,1167.49,521.2322,1657176479999,608781.636534,937,205.4614,239961.133278,
2022-07-07 08:50:59.999,1657176480000,1167.49,1167.75,1165.22,1167.0,1495.544,1657176659999,1743915.0852,1399,497.0028,579520.876399,
2022-07-07 08:53:59.999,1657176660000,1166.99,1168.95,1166.93,1168.82,1037.5555,1657176839999,1211674.508567,1249,361.3346,421924.338431,
2022-07-07 08:56:59.999,1657176840000,1168.81,1169.06,1167.38,1167.6,825.2079,1657177019999,964214.282628,1070,500.2424,584493.260631,
2022-07-07 08:59:59.999,1657177020000,1167.59,1169.58,1167.59,1168.81,651.5755,1657177199999,761593.811517,1026,293.0176,342454.374246,
2022-07-07 09:02:59.999,1657177200000,1168.82,1171.84,1168.2,1171.39,1385.4595,1657177379999,1620922.815399,1315,555.1349,649412.990864,
2022-07-07 09:05:59.999,1657177380000,1171.39,1171.58,1169.7,1171.41,827.3762,1657177559999,968471.963742,951,502.8803,588649.208647,
2022-07-07 09:08:59.999,1657177560000,1171.42,1172.01,1170.57,1171.27,1555.8047,1657177739999,1822653.050028,1108,579.1139,678386.366249,
2022-07-07 09:11:59.999,1657177740000,1171.27,1172.34,1170.44,1170.99,1448.4692,1657177919999,1696405.251615,1167,819.8699,960092.04776,
2022-07-07 09:14:59.999,1657177920000,1170.98,1170.99,1168.63,1168.67,850.6814,1657178099999,995175.659757,880,325.3812,380660.745986,
2022-07-07 09:17:59.999,1657178100000,1168.66,1170.22,1167.39,1167.8,2066.5801,1657178279999,2415020.193917,1452,593.1913,693245.893417,
2022-07-07 09:20:59.999,1657178280000,1167.81,1168.85,1167.07,1168.72,937.0438,1657178459999,1094266.037269,1049,561.517,655689.674711,
2022-07-07 09:23:59.999,1657178460000,1168.73,1170.61,1168.57,1170.26,415.9664,1657178639999,486460.340569,755,168.2654,196767.553003,
2022-07-07 09:26:59.999,1657178640000,1170.27,1172.5,1170.26,1172.06,1195.2793,1657178819999,1400051.418202,1366,573.2375,671410.157119,
2022-07-07 09:29:59.999,1657178820000,1172.06,1172.23,1170.81,1171.41,619.1251,1657178999999,725263.247562,821,267.781,313652.044778,
2022-07-07 09:32:59.999,1657179000000,1171.41,1174.14,1171.4,1173.77,1835.5247,1657179179999,2153046.462731,1737,994.6944,1166749.33429,
2022-07-07 09:35:59.999,1657179180000,1173.76,1177.19,1173.76,1176.0,5687.7886,1657179359999,6687254.110265,3756,3435.572,4038551.978994,
2022-07-07 09:38:59.999,1657179360000,1176.01,1176.49,1174.38,1175.45,927.3166,1657179539999,1089918.88187,1076,465.4777,547100.698873,
2022-07-07 09:41:59.999,1657179540000,1175.46,1176.17,1174.24,1174.39,1110.8285,1657179719999,1305555.256602,1245,522.8979,614563.952086,
2022-07-07 09:44:59.999,1657179720000,1174.39,1174.87,1173.69,1174.28,631.3342,1657179899999,741334.448643,812,352.3543,413744.357101,
2022-07-07 09:47:59.999,1657179900000,1174.28,1175.97,1174.18,1175.64,790.1719,1657180079999,928617.937785,879,412.1641,484404.721076,
2022-07-07 09:50:59.999,1657180080000,1175.64,1177.79,1175.64,1176.55,1738.4353,1657180259999,2045792.637066,1544,945.1033,1112064.007629,
2022-07-07 09:53:59.999,1657180260000,1176.53,1177.0,1175.05,1176.99,858.5051,1657180439999,1009743.06474,879,480.2017,564850.576632,
2022-07-07 09:56:59.999,1657180440000,1177.0,1177.9,1176.35,1176.87,867.4972,1657180619999,1021165.065732,976,380.4865,447847.07431,
2022-07-07 09:59:59.999,1657180620000,1176.87,1177.3,1175.87,1176.59,905.2811,1657180799999,1065299.981914,813,559.5825,658532.882641,
2022-07-07 10:02:59.999,1657180800000,1176.58,1178.45,1176.19,1177.23,1558.1224,1657180979999,1834372.562112,1230,949.786,1118119.806215,
2022-07-07 10:05:59.999,1657180980000,1177.23,1177.71,1176.06,1176.2,755.375,1657181159999,888993.199572,783,343.0118,403659.293117,
